Date,Ticker,Name,Sector,Industry,Country,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend %,Employees,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),SMA50,ROA,ROE,ROI,Gross Margin,Oper. Margin,Profit Margin,SMA200,Price,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile
2021.08.01,CDR,"Cedar Realty Trust, Inc.",Real Estate,REIT - Retail,USA,221610000,-8600000,126600000,28.47,0.42,0.26,0.0157,63,NA,NA,NA,1.75,0.58,39.57,48.18,NA,NA,1.39,1.39,0.0187,-0.66,0.0614,0.04,0.139,0.023,0.639,0.639,0.369,0.314,16.6,NA,NA,NA,NA,NA,NA
2021.08.01,CDTX,"Cidara Therapeutics, Inc.",Healthcare,Biotechnology,USA,71500000,-75900000,11900000,0.04,0.91,NA,NA,79,NA,NA,NA,6.01,38,1.67,NA,1.3,1.3,3.11,0,-0.1064,-1.73,-0.2045,-1.206,-3.634,-4.059,NA,NA,NA,-0.3286,1.52,NA,NA,NA,NA,NA,NA
2021.08.01,CDW,CDW Corporation,Technology,Information Technology Services,USA,25670000000,853200000,18920000000,8.29,6.27,1.6,0.0087,10000,31.01,22.67,2.5,1.36,22.12,29.22,24.2,1.3,1.5,3.36,3.34,0.0332,5.91,0.0651,0.094,0.717,0.185,0.172,0.066,0.045,0.1873,183.35,10.84,3.62,3.45,3.76,0,2.23
2021.08.01,CDXC,ChromaDex Corporation,Healthcare,Biotechnology,USA,606560000,-21400000,59600000,0.68,0.64,NA,NA,110,NA,NA,NA,10.18,12.78,13.57,NA,2.6,3.2,0,0,-0.0676,-0.34,-0.0527,-0.458,-0.845,NA,0.607,-0.358,-0.359,0.163,8.69,NA,NA,NA,NA,NA,NA
2021.08.01,CDXS,"Codexis, Inc.",Healthcare,Biotechnology,USA,1380000000,-25400000,72400000,2.55,2.17,NA,NA,181,NA,NA,NA,19,8.3,9.77,NA,7.7,7.7,0,0,0.0022,-0.42,0.0058,-0.143,-0.196,-0.143,0.787,-0.349,-0.351,0.0161,21.16,NA,NA,NA,NA,NA,NA
2021.08.01,CDZI,Cadiz Inc.,Utilities,Utilities - Regulated Water,USA,551620000,-23200000,600000,-0.35,0.46,NA,NA,10,NA,NA,NA,919.37,NA,29.5,NA,8.4,8.4,NA,NA,-0.0195,-0.68,0.014,-0.302,1.093,-0.452,NA,NA,NA,0.2064,13.55,NA,NA,NA,NA,NA,NA
2021.08.01,CE,Celanese Corporation,Basic Materials,Chemicals,USA,17300000000,2530000000,7000000000,33.82,9.75,2.72,0.0175,7658,7.12,11.28,0.25,2.47,4.61,15.97,29.32,1.4,1.9,0.96,0.83,0.0205,21.87,-0.0022,0.236,0.754,0.252,0.279,0.384,0.36,0.0935,155.77,30.43,15.42,7.71,7.31,2,59.36
2021.08.01,CEA,China Eastern Airlines Corporation Limited,Industrials,Airlines,China,9880000000,-1833300000,9100000000,26.59,2.25,0.35,0.0189,81157,NA,NA,NA,1.09,0.7,8.23,NA,0.2,0.2,3.27,2.01,-0.0689,-5.6,-0.1311,-0.042,-0.195,-0.041,0.15,-0.236,-0.202,-0.1611,18.53,NA,NA,NA,NA,NA,NA
2021.08.01,CECE,CECO Environmental Corp.,Industrials,Pollution & Treatment Controls,USA,251400000,6000000,307400000,5.78,1.15,NA,NA,730,41.9,10.95,2.79,0.82,1.22,6.15,66.16,1.2,1.7,0.34,0.32,-0.0109,0.17,-0.0628,0.014,0.03,0.034,0.331,0.04,0.019,-0.0738,7.04,NA,NA,NA,NA,NA,NA
2021.08.01,CEI,"Camber Energy, Inc.",Energy,Oil & Gas E&P,USA,50800000,-9200000,300000,0.21,0.01,NA,NA,NA,NA,NA,NA,169.33,2.14,46.18,NA,0.9,0.9,0,0,-0.1672,-2.08,-0.2672,-0.979,-2.463,-1.934,0.037,NA,NA,-0.5201,0.45,NA,NA,NA,NA,NA,NA
