Date,Ticker,Sector,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20,EPS (ttm),EPS next Y...17,EPS next Q,EPS this Y,EPS next Y...20,EPS next 5Y,EPS past 5Y,Sales past 5Y,Sales Q/Q,EPS Q/Q,Beta,ATR,Prev Close,Price,Change,ESG Totalesg,ESG Environmentscore,ESG Socialscore,ESG Governancescore,ESG Highestcontroversy,ESG Percentile,P/E_diff,Forward P/E_diff,PEG_diff,P/S_diff,P/B_diff,P/C_diff,P/FCF_diff,Quick Ratio_diff,Current Ratio_diff,Debt/Eq_diff,LT Debt/Eq_diff,SMA20_diff,EPS (ttm)_diff,EPS next Y...17_diff,EPS next Q_diff,EPS this Y_diff,EPS next Y...20_diff,EPS next 5Y_diff,EPS past 5Y_diff,Sales past 5Y_diff,Sales Q/Q_diff,EPS Q/Q_diff,Beta_diff,ATR_diff,Prev Close_diff,Price_diff,Change_diff,ESG Totalesg_diff,ESG Environmentscore_diff,ESG Socialscore_diff,ESG Governancescore_diff,ESG Highestcontroversy_diff
2021.08.23,A,Healthcare,52.96,35.72,0.99,8.38,10.75,37.28,59.34,1.5,2,0.61,0.57,0.0834,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.67,168.13,170,0.0111,16.57,0.87,9.44,6.26,2,11.74,-1.6499999999999986,0.509999999999998,-4.069999999999999,-0.06999999999999851,0.4499999999999993,1.6799999999999997,11.360000000000007,0,0,0,0,0.0286,0.22999999999999998,0.1299999999999999,0.17999999999999994,0,-0.006900000000000003,0.42500000000000004,0,0,0,0,0,0.46999999999999975,7.219999999999999,6.97999999999999,-0.002,0,0,0,0,0
2021.08.24,A,Healthcare,53.14,35.84,1,8.4,10.78,37.4,59.53,1.5,2,0.61,0.57,0.0802,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.64,170,170.57,0.0034,16.57,0.87,9.44,6.26,2,11.74,-3.030000000000001,-0.36999999999999744,-4.2,-0.28999999999999915,0.17999999999999972,0.7800000000000011,10.18,0,0,0,0,1.9999999999999185e-4,0.22999999999999998,0.1299999999999999,0.17999999999999994,0,-0.006900000000000003,0.42500000000000004,0,0,0,0,0,0.06000000000000005,6.97999999999999,2.9000000000000057,-0.0251,0,0,0,0,0
2021.08.25,A,Healthcare,53.14,35.84,1,8.4,10.78,37.4,59.53,1.5,2,0.61,0.57,0.086,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.64,170.57,172.6,0.0119,16.57,0.87,9.44,6.26,2,11.74,-3.1799999999999997,-0.46999999999999886,-4.22,-0.3100000000000005,0.14999999999999858,0.6799999999999997,10.04,0,0,0,0,0.009099999999999997,0.22999999999999998,0.1299999999999999,0.17999999999999994,0,-0.006900000000000003,0.42500000000000004,0,0,0,0,0,-0.040000000000000036,2.9000000000000057,4.469999999999999,0.0092,0,0,0,0,0
2021.08.26,A,Healthcare,53.99,36.42,1.01,8.54,10.95,38,60.49,1.5,2,0.61,0.57,0.0904,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.68,170.57,173.3,0.016,16.57,0.87,9.44,6.26,2,11.74,-2.3299999999999983,0.10999999999999943,-4.21,-0.1700000000000017,0.3199999999999985,1.2800000000000011,11,0,0,0,0,0.013499999999999998,0.22999999999999998,0.1299999999999999,0.17999999999999994,0,-0.006900000000000003,0.42500000000000004,0,0,0,0,0,0,2.9000000000000057,5.170000000000016,0.0133,0,0,0,0,0
2021.08.27,A,Healthcare,54.15,36.52,1.02,8.56,10.99,38.11,60.67,1.5,2,0.61,0.57,0.0791,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.6,173.59,173.81,0.0013,16.57,0.87,9.44,6.26,2,11.74,1.769999999999996,1.1900000000000048,0.040000000000000036,0.28000000000000114,0.35999999999999943,1.240000000000002,1.990000000000002,0,0,0,0,0.0022000000000000075,0,0,0,0,0,0,0,0,0,0,0,-0.08000000000000007,5.920000000000016,5.680000000000007,-0.0014000000000000002,0,0,0,0,0
2021.08.28,A,Healthcare,54.15,36.52,1.02,8.56,10.99,38.11,60.67,1.5,2,0.61,0.57,0.0791,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.6,173.59,173.81,0.0013,16.57,0.87,9.44,6.26,2,11.74,1.1899999999999977,0.8000000000000043,0.030000000000000027,0.17999999999999972,0.2400000000000002,0.8299999999999983,1.3299999999999983,0,0,0,0,-0.004299999999999998,0,0,0,0,0,0,0,0,0,0,0,-0.06999999999999984,5.460000000000008,3.8100000000000023,-0.0098,0,0,0,0,0
2021.08.29,A,Healthcare,54.15,36.52,1.02,8.56,10.99,38.11,60.67,1.5,2,0.61,0.57,0.0791,3.21,4.76,1.17,-0.316,0.1109,0.533,0.12,0.057,0.232,1.173,0.99,2.6,173.59,173.81,0.0013,16.57,0.87,9.44,6.26,2,11.74,1.009999999999998,0.6799999999999997,0.020000000000000018,0.16000000000000014,0.21000000000000085,0.7100000000000009,1.1400000000000006,0,0,0,0,-0.0010999999999999899,0,0,0,0,0,0,0,0,0,0,0,-0.040000000000000036,3.5900000000000034,3.240000000000009,-0.0021,0,0,0,0,0
2021.08.30,A,Healthcare,54.15,36.27,1.02,8.58,10.99,38.17,60.76,1.5,2,0.61,0.57,0.0791,3.21,4.79,1.17,-0.316,0.1116,0.533,0.12,0.057,0.232,1.173,1,2.6,173.59,173.81,0.0013,16.57,0.87,9.44,6.26,2,11.74,1.009999999999998,0.4299999999999997,0.020000000000000018,0.17999999999999972,0.21000000000000085,0.7700000000000031,1.2299999999999969,0,0,0,0,-0.0068999999999999895,0,0.03000000000000025,0,0,7.000000000000062e-4,0,0,0,0,0,0.010000000000000009,-0.040000000000000036,3.0200000000000102,1.210000000000008,-0.010600000000000002,0,0,0,0,0
2021.08.31,A,Healthcare,54.66,36.62,1.03,8.66,11.09,38.53,61.34,1.5,2,0.61,0.57,0.0746,3.21,4.79,1.17,-0.316,0.1116,0.533,0.12,0.057,0.232,1.173,1,2.61,176.73,175.47,-0.0071,16.57,0.87,9.44,6.26,2,11.74,0.6699999999999946,0.19999999999999574,0.020000000000000018,0.120000000000001,0.14000000000000057,0.5300000000000011,0.8500000000000014,0,0,0,0,-0.015799999999999995,0,0.03000000000000025,0,0,7.000000000000062e-4,0,0,0,0,0,0.010000000000000009,-0.07000000000000028,6.159999999999997,2.1699999999999875,-0.023100000000000002,0,0,0,0,0
2021.08.01,AA,Basic Materials,17.72,8.47,NA,0.7,1.99,4.45,NA,1,1.6,0.59,0.59,0.102,2.27,4.74,1.36,0.85,-0.0261,NA,0.28,-0.037,0.319,2.536,2.7,1.8,39.37,40.15,0.0198,31.31,18.26,8.12,4.93,3,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
